CSB_Category,Month_MM_YY,Sum of Value
Motor Vehicle Theft,09-25,$0
Motor Vehicle Theft,10-25,$0
Motor Vehicle Theft,11-25,$0
Motor Vehicle Theft,12-25,$0
Motor Vehicle Theft,01-26,$1
Post-Investigation Arrests,01-25,$0
Post-Investigation Arrests,02-25,$0
Post-Investigation Arrests,03-25,$0
Post-Investigation Arrests,04-25,$0
Post-Investigation Arrests,05-25,$0
Post-Investigation Arrests,06-25,$1
Post-Investigation Arrests,07-25,$0
Post-Investigation Arrests,08-25,$0
Post-Investigation Arrests,09-25,$0
Post-Investigation Arrests,10-25,$0
Post-Investigation Arrests,11-25,$0
Post-Investigation Arrests,12-25,$0
Post-Investigation Arrests,01-26,$0
Robbery Arrests,01-25,$0
Robbery Arrests,02-25,$0
Robbery Arrests,03-25,$0
Robbery Arrests,04-25,$0
Robbery Arrests,05-25,$2
Robbery Arrests,06-25,$0
Robbery Arrests,07-25,$0
Robbery Arrests,08-25,$0
Robbery Arrests,09-25,$0
Robbery Arrests,10-25,$0
Robbery Arrests,11-25,$0
Robbery Arrests,12-25,$0
Robbery Arrests,01-26,$0
Search Warrants Executed,01-25,$2
Search Warrants Executed,02-25,$0
Search Warrants Executed,03-25,$7
Search Warrants Executed,04-25,$2
Search Warrants Executed,05-25,$1
Search Warrants Executed,06-25,$0
Search Warrants Executed,07-25,$0
Search Warrants Executed,08-25,$0
Search Warrants Executed,09-25,$0
Search Warrants Executed,10-25,$0
Search Warrants Executed,11-25,$0
Search Warrants Executed,12-25,$0
Search Warrants Executed,01-26,$0
Subpoenas Generated,01-25,$5
Subpoenas Generated,02-25,$5
Subpoenas Generated,03-25,$2
Subpoenas Generated,04-25,$4
Subpoenas Generated,05-25,$4
Subpoenas Generated,06-25,$3
Subpoenas Generated,07-25,$0
Subpoenas Generated,08-25,$0
Subpoenas Generated,09-25,$0
Subpoenas Generated,10-25,$0
Subpoenas Generated,11-25,$0
Subpoenas Generated,12-25,$0
Subpoenas Generated,01-26,$10
Surveillance Reports,01-25,$7
Surveillance Reports,02-25,$0
Surveillance Reports,03-25,$4
Surveillance Reports,04-25,$0
Surveillance Reports,05-25,$0
Surveillance Reports,06-25,$0
Surveillance Reports,07-25,$0
Surveillance Reports,08-25,$0
Surveillance Reports,09-25,$0
Surveillance Reports,10-25,$0
Surveillance Reports,11-25,$0
Surveillance Reports,12-25,$0
Surveillance Reports,01-26,$1
Theft,01-25,$0
Theft,02-25,$0
Theft,03-25,$0
Theft,04-25,$0
Theft,05-25,$0
Theft,06-25,$0
Theft,07-25,$0
Theft,08-25,$0
Theft,09-25,$0
Theft,10-25,$0
Theft,11-25,$0
Theft,12-25,$0
Theft,01-26,$0
Warrant Arrests,01-25,$3
Warrant Arrests,02-25,$6
Warrant Arrests,03-25,$8
Warrant Arrests,04-25,$9
Warrant Arrests,05-25,$4
Warrant Arrests,06-25,$6
Warrant Arrests,07-25,$0
Warrant Arrests,08-25,$0
Warrant Arrests,09-25,$0
Warrant Arrests,10-25,$0
Warrant Arrests,11-25,$0
Warrant Arrests,12-25,$0
Warrant Arrests,01-26,$5
Weapons Recovered,01-25,$0
Weapons Recovered,02-25,$0
Weapons Recovered,03-25,$0
Weapons Recovered,04-25,$1
Weapons Recovered,05-25,$0
Weapons Recovered,06-25,$1
Weapons Recovered,07-25,$0
Weapons Recovered,08-25,$0
Weapons Recovered,09-25,$0
Weapons Recovered,10-25,$0
Weapons Recovered,11-25,$0
Weapons Recovered,12-25,$0
Weapons Recovered,01-26,$0
