TrackedItem,Month_Year,Sum of Total
Warrants Executed,07-25,0
Warrants Executed,08-25,0
Warrants Executed,09-25,0
Warrants Executed,10-25,0
Warrants Executed,11-25,0
Warrants Executed,12-25,0
Warrants Executed,01-26,2
Weapons Recovered,01-25,0
Weapons Recovered,02-25,0
Weapons Recovered,03-25,0
Weapons Recovered,04-25,0
Weapons Recovered,05-25,0
Weapons Recovered,06-25,0
Weapons Recovered,07-25,0
Weapons Recovered,08-25,0
Weapons Recovered,09-25,0
Weapons Recovered,10-25,0
Weapons Recovered,11-25,0
Weapons Recovered,12-25,0
Weapons Recovered,01-26,0
